# x_m,y_m,w_tr_right_m,w_tr_left_m
5.3987,-0.1604,0.7,0.65
5.3299,-0.1603,0.6915,0.65
5.261,-0.1601,0.678,0.65
5.1922,-0.1599,0.6645,0.65
5.1234,-0.1598,0.651,0.65
5.0546,-0.1598,0.65,0.65
4.9857,-0.16,0.65,0.65
4.9169,-0.1602,0.65,0.65
4.8481,-0.1604,0.65,0.65
4.7792,-0.1603,0.65,0.65
4.7105,-0.1598,0.65,0.65
4.6417,-0.159,0.65,0.65
4.5729,-0.1586,0.65,0.65
4.504,-0.1593,0.65,0.65
4.435,-0.1618,0.65,0.65
4.3659,-0.1646,0.65,0.65
4.297,-0.1649,0.65,0.672
4.2287,-0.1598,0.65,0.699
4.1611,-0.1479,0.65,0.726
4.0938,-0.1323,0.65,0.747
4.0264,-0.1175,0.65,0.72
3.9586,-0.1077,0.65,0.693
3.8901,-0.1048,0.65,0.666
3.8211,-0.1062,0.65,0.65
3.752,-0.1092,0.65,0.65
3.683,-0.1111,0.65,0.65
3.6141,-0.1114,0.65,0.65
3.5454,-0.1107,0.65,0.65
3.4766,-0.11,0.65,0.65
3.4078,-0.1096,0.65,0.65
3.339,-0.1097,0.65,0.65
3.2701,-0.1099,0.6365,0.6365
3.2013,-0.1101,0.623,0.623
3.1325,-0.1101,0.6095,0.6095
3.0637,-0.1101,0.6,0.6
2.9948,-0.11,0.6,0.6
2.926,-0.11,0.6,0.6
2.8572,-0.11,0.6,0.6
2.7884,-0.11,0.6,0.608
2.7196,-0.11,0.6,0.6215
2.6507,-0.11,0.6,0.635
2.5819,-0.11,0.6,0.6485
2.5131,-0.11,0.6,0.65
2.4443,-0.11,0.6,0.65
2.3755,-0.11,0.6,0.65
2.3066,-0.11,0.6025,0.6475
2.2378,-0.11,0.616,0.634
2.169,-0.11,0.6295,0.6205
2.1002,-0.11,0.643,0.607
2.0313,-0.11,0.65,0.6
1.9625,-0.11,0.65,0.6
1.8937,-0.1099,0.65,0.6
1.8249,-0.1098,0.65,0.6
1.7561,-0.1099,0.6605,0.6105
1.6872,-0.1102,0.674,0.624
1.6183,-0.1106,0.6875,0.6375
1.5495,-0.1107,0.7,0.65
1.4808,-0.11,0.7,0.65
1.4122,-0.1086,0.7,0.65
1.3436,-0.1075,0.7,0.65
1.2747,-0.108,0.71,0.66
1.2051,-0.1117,0.737,0.687
1.1353,-0.1173,0.764,0.714
1.066,-0.1197,0.791,0.741
0.9983,-0.1138,0.773,0.75
0.9331,-0.0951,0.7325,0.75
0.8696,-0.067,0.692,0.75
0.8066,-0.0371,0.6515,0.75
0.7424,-0.0132,0.663,0.737
0.6757,-0.0019,0.6765,0.7235
0.6071,-0.0013,0.69,0.71
0.5373,-0.006,0.7,0.7
0.4676,-0.0106,0.7,0.7
0.3985,-0.0116,0.7,0.7
0.3298,-0.0107,0.7,0.7
0.2612,-0.0098,0.7,0.6925
0.1924,-0.011,0.7,0.679
0.1233,-0.0137,0.7,0.6655
0.0543,-0.0146,0.7,0.652
-0.0141,-0.0107,0.6885,0.6615
-0.0819,0.0004,0.675,0.675
-0.1492,0.0158,0.6615,0.6885
-0.2165,0.031,0.65,0.7
-0.2842,0.0416,0.65,0.7
-0.3527,0.0453,0.65,0.7
-0.4216,0.0442,0.65,0.7
-0.4907,0.0412,0.662,0.7
-0.5598,0.0389,0.689,0.7
-0.6287,0.0383,0.716,0.7
-0.6974,0.0388,0.743,0.7
-0.7662,0.0399,0.75,0.7
-0.8349,0.0411,0.75,0.7
-0.9036,0.0417,0.75,0.7
-0.9725,0.0412,0.75,0.7
-1.0415,0.0392,0.75,0.7
-1.1106,0.0362,0.75,0.7
-1.1796,0.0348,0.75,0.7
-1.2481,0.0377,0.75,0.7
-1.316,0.0473,0.75,0.7
-1.3834,0.0619,0.75,0.7
-1.4507,0.0775,0.75,0.7
-1.5183,0.0898,0.75,0.7
-1.5865,0.0956,0.75,0.7
-1.6553,0.096,0.75,0.7
-1.7244,0.0929,0.75,0.7
-1.7937,0.0884,0.775,0.725
